"x","cdf","gamma","gamma_label","p0"
-5.4,0.144230968800258,-1.01769180900079,"gamma = -1.018",0.6
-5.38666666666667,0.144922610787914,-1.01769180900079,"gamma = -1.018",0.6
-5.37333333333333,0.145616705334188,-1.01769180900079,"gamma = -1.018",0.6
-5.36,0.146313255877903,-1.01769180900079,"gamma = -1.018",0.6
-5.34666666666667,0.147012265829292,-1.01769180900079,"gamma = -1.018",0.6
-5.33333333333333,0.147713738569748,-1.01769180900079,"gamma = -1.018",0.6
-5.32,0.148417677451579,-1.01769180900079,"gamma = -1.018",0.6
-5.30666666666667,0.149124085797755,-1.01769180900079,"gamma = -1.018",0.6
-5.29333333333333,0.149832966901662,-1.01769180900079,"gamma = -1.018",0.6
-5.28,0.150544324026851,-1.01769180900079,"gamma = -1.018",0.6
-5.26666666666667,0.151258160406786,-1.01769180900079,"gamma = -1.018",0.6
-5.25333333333333,0.151974479244592,-1.01769180900079,"gamma = -1.018",0.6
-5.24,0.152693283712803,-1.01769180900079,"gamma = -1.018",0.6
-5.22666666666667,0.153414576953106,-1.01769180900079,"gamma = -1.018",0.6
-5.21333333333333,0.154138362076088,-1.01769180900079,"gamma = -1.018",0.6
-5.2,0.15486464216098,-1.01769180900079,"gamma = -1.018",0.6
-5.18666666666667,0.155593420255397,-1.01769180900079,"gamma = -1.018",0.6
-5.17333333333333,0.156324699375087,-1.01769180900079,"gamma = -1.018",0.6
-5.16,0.157058482503665,-1.01769180900079,"gamma = -1.018",0.6
-5.14666666666667,0.157794772592359,-1.01769180900079,"gamma = -1.018",0.6
-5.13333333333333,0.158533572559746,-1.01769180900079,"gamma = -1.018",0.6
-5.12,0.159274885291492,-1.01769180900079,"gamma = -1.018",0.6
-5.10666666666667,0.160018713640092,-1.01769180900079,"gamma = -1.018",0.6
-5.09333333333333,0.160765060424601,-1.01769180900079,"gamma = -1.018",0.6
-5.08,0.161513928430375,-1.01769180900079,"gamma = -1.018",0.6
-5.06666666666667,0.162265320408803,-1.01769180900079,"gamma = -1.018",0.6
-5.05333333333333,0.163019239077043,-1.01769180900079,"gamma = -1.018",0.6
-5.04,0.16377568711775,-1.01769180900079,"gamma = -1.018",0.6
-5.02666666666667,0.164534667178813,-1.01769180900079,"gamma = -1.018",0.6
-5.01333333333333,0.165296181873086,-1.01769180900079,"gamma = -1.018",0.6
-5,0.166060233778112,-1.01769180900079,"gamma = -1.018",0.6
-4.98666666666667,0.166826825435858,-1.01769180900079,"gamma = -1.018",0.6
-4.97333333333333,0.167595959352438,-1.01769180900079,"gamma = -1.018",0.6
-4.96,0.168367637997846,-1.01769180900079,"gamma = -1.018",0.6
-4.94666666666667,0.169141863805674,-1.01769180900079,"gamma = -1.018",0.6
-4.93333333333333,0.169918639172842,-1.01769180900079,"gamma = -1.018",0.6
-4.92,0.170697966459322,-1.01769180900079,"gamma = -1.018",0.6
-4.90666666666667,0.171479847987855,-1.01769180900079,"gamma = -1.018",0.6
-4.89333333333333,0.172264286043681,-1.01769180900079,"gamma = -1.018",0.6
-4.88,0.173051282874252,-1.01769180900079,"gamma = -1.018",0.6
-4.86666666666667,0.173840840688957,-1.01769180900079,"gamma = -1.018",0.6
-4.85333333333333,0.174632961658836,-1.01769180900079,"gamma = -1.018",0.6
-4.84,0.1754276479163,-1.01769180900079,"gamma = -1.018",0.6
-4.82666666666667,0.176224901554849,-1.01769180900079,"gamma = -1.018",0.6
-4.81333333333333,0.17702472462878,-1.01769180900079,"gamma = -1.018",0.6
-4.8,0.177827119152911,-1.01769180900079,"gamma = -1.018",0.6
